,vote_link,Nombre:,Status,Date,Tipo,Camara,Comision,Votos,Absenciones,click
0,https://congresovisible.uniandes.edu.co/votaciones/13933/,"['“Aprobación del impedimento presentado por los Representantes Flora Perdomo, Gloria Betty Zorro, Santiago Valencia, Eduardo José Tous y Juan Carlos ']",denegado,['Dic 05 d 2016'],['Impedimentos'],['Cámara de Representantes'],[],89,59,OK
0,https://congresovisible.uniandes.edu.co/votaciones/13934/,['“Aprobación del título y pregunta Proyecto de ley número 049 de '],aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],78,69,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14131/,"['“Aprobación del título y la pregunta, Proyecto de ley número 049 de 2015 Cámara.']",noquorum,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],78,67,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14123/,"['“Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 157 del 2016 Cámara, 151 del 2016 ']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14124/,"['“Aprobación del articulado tal y como viene en la proposición con que termina el informe de ponencia, Proyecto de ley número 157 del 2016 Cámara, 151 del 2016 Senado ']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14122/,"['“Aprobación del informe de conciliación, Proyecto de ley número 180 del 2015 Cámara, 44 del 2015 Senado.']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14125/,"['“Aprobación del título y pregunta del Proyecto de ley número 157 del 2016 Cámara, 151 del 2016 Senado ']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14126/,['“Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley número 220 de 2016 '],aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14127/,"['“Aprobación del articulado tal y como viene en el informe de Ponencia, Proyecto de ley número 220 de 2016 Cámara']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14128/,"['“Aprobación del título y la pregunta, Proyecto de ley número 220 de 2016 Cámara']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14129/,['“Aprobación de la proposición con que termina el informe de ponencia del Proyecto de ley número 049 de 2015 Cámara'],aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14130/,"['“Aprobación del articulado tal y como viene en el informe de ponencia, Proyecto de ley número 049 de 2015 Cámara']",aprobado,['Dic 05 d 2016'],['Proyecto de Ley'],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14121/,['“Aprobación del Orden del Día'],aprobado,['Dic 05 d 2016'],[],['Cámara de Representantes'],[],0,0,NO
0,https://congresovisible.uniandes.edu.co/votaciones/14211/,"['“Aprobación del informe de conciliación del Proyecto de Ley numero 54 de 2015 Senado, 267  de 2016 Cámara ']",aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],70,29,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14212/,"['“Proposición de  aplazamiento para debatir y votar el proyecto de ley número 151 de 2016 Senado, 157 de 2016 ']",aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],67,32,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14213/,['“Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de Ley número 102 de 2015 Senado.'],aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],68,31,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14214/,['“Aprobación de la proposición sustitutiva de archivo con que termina el informe de ponencia del Proyecto de Ley número 102 de 2015 Senado'],denegado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],70,29,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14215/,['“Aprobación del artículo 1º con las modificaciones propuestas por la subcomisión y explicada por el honorable Senador ponente Nerthink Mauricio Aguilar Hurtado al Proyecto de ley número 102 de 2015 '],aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],62,37,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14216/,"['“Aprobación del artículo 2º, con las modificaciones presentadas por la subcomisión y explicada por el honorable Senador ponente Nerthink Mauricio Aguilar Hurtado al Proyecto de ley número 102 de 2015 ']",aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],63,36,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14217/,['“Aprobación del articulo 3º con las modificaciones propuest as por la subcomisión y explicada por el honorable Senador ponente Nerthink Mauricio Aguilar Hurtado al Proyecto de ley número 102 de 2015 '],aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],61,38,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14218/,['“Aprobación del artículo 4º con las modificaciones propuestas por la subcomisión y explicada por el honorable Senador ponente al Proyecto de ley número 102 de 2015 '],aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],60,39,OK
0,https://congresovisible.uniandes.edu.co/votaciones/14219/,['“Aprobación de la proposición sustitutiva al artículo 5º presentada por la honorable Senadora Claudia Nayibe López Hernández y con las modificaciones propuestas al Proyecto de ley número 102 de 2015 '],aprobado,['Nov 30 d 2016'],['Proyecto de Ley'],['Senado'],[],54,45,OK
